episode,total_reward,average_reward
1,943.5,0.1887
2,1157.5,0.2315
3,1032.5,0.2065
4,1179.0,0.2358
5,992.0,0.1984
6,1189.0,0.2378
7,1195.5,0.2391
8,1133.5,0.2267
9,1210.0,0.242
10,1300.5,0.2601
11,1224.5,0.2449
12,1247.5,0.2495
13,1208.0,0.2416
14,1265.0,0.253
15,1385.0,0.277
16,1394.5,0.2789
17,1324.5,0.2649
18,1191.0,0.2382
19,1480.5,0.2961
20,1327.5,0.2655
21,1422.5,0.2845
22,1528.0,0.3056
23,1478.5,0.2957
24,1394.5,0.2789
25,1484.0,0.2968
26,1518.0,0.3036
27,1615.5,0.3231
28,1589.5,0.3179
29,1535.5,0.3071
30,1606.5,0.3213
