episode,total_reward,average_reward,epsilon
1,-1048.75,-0.20975,1.0
2,-845.5,-0.1691,0.97
3,-813.25,-0.16265,0.9409
4,-644.75,-0.12895,0.912673
5,-592.75,-0.11855,0.8852928099999999
6,-597.25,-0.11945,0.8587340256999999
7,-249.75,-0.04995,0.8329720049289999
8,-351.75,-0.07035,0.8079828447811299
9,-143.0,-0.0286,0.783743359437696
10,161.25,0.03225,0.7602310586545651
11,-37.5,-0.0075,0.7374241268949281
12,122.75,0.02455,0.7153014030880802
13,136.0,0.0272,0.6938423609954378
14,263.0,0.0526,0.6730270901655747
15,352.25,0.07045,0.6528362774606075
16,412.75,0.08255,0.6332511891367892
17,582.5,0.1165,0.6142536534626856
18,502.75,0.10055,0.595826043858805
19,794.25,0.15885,0.5779512625430409
20,733.25,0.14665,0.5606127246667496
21,709.5,0.1419,0.5437943429267471
22,788.5,0.1577,0.5274805126389447
23,797.5,0.1595,0.5116560972597763
24,1022.0,0.2044,0.496306414341983
25,966.75,0.19335,0.48141722191172354
26,1094.25,0.21885,0.4669747052543718
27,1186.25,0.23725,0.4529654640967406
28,1192.75,0.23855,0.4393765001738384
29,1402.0,0.2804,0.42619520516862325
30,1132.25,0.22645,0.4134093490135645
